jobid,total_energy
312088,3027000.0
272132,925536000.0
312089,2366500.0
312098,1386000.0
286069,445400000.0
265293,351573000.0
303951,12492100.0
286066,540652000.0
286064,534093000.0
311643,105470000.0
286067,538351000.0
312104,1707520.0
274211,167272000.0
303215,77987300.0
305461,248491000.0
286084,229398000.0
303955,10063600.0
286075,542959000.0
274222,167439000.0
311880,94286200.0
312109,1710800.0
305746,109151000.0
274239,146302000.0
274246,150510000.0
286076,519141000.0
312096,89257200.0
312111,1717000.0
290876,147801000.0
290875,141258000.0
290878,131926000.0
286079,533620000.0
276282,143489000.0
281967,74773500.0
290882,142441000.0
281968,79804500.0
276291,149520000.0
265292,378627000.0
290963,77621500.0
265294,384908000.0
286039,207166000.0
278766,304198000.0
302497,116066000.0
302499,121316000.0
306922,2174450000.0
297585,172079000.0
294582,3967000.0
294577,4542900.0
286071,617263000.0
286065,648220000.0
286958,77080300.0
286959,79597100.0
286973,83394400.0
286974,78837500.0
290832,79792600.0
290833,78336000.0
290837,79228700.0
290912,78005000.0
290913,75749000.0
290914,74316000.0
290915,78659000.0
306768,165300000.0
306769,178189000.0
294585,4461300.0
294580,4912000.0
294596,4752300.0
273723,214493000.0
273889,218334000.0
294578,5203000.0
306104,58068000.0
294602,4887000.0
294588,5292000.0
294595,5559000.0
294597,5998600.0
298173,82120000.0
298174,82706400.0
286073,631639000.0
294593,5906000.0
307160,136533000.0
307144,141582000.0
307165,143193000.0
307149,146415000.0
294609,5038000.0
307166,144544000.0
307151,144661000.0
307147,148199000.0
307139,150554000.0
307143,136964000.0
307135,142978000.0
307155,141990000.0
307140,146960000.0
307148,149754000.0
307146,142826000.0
307145,141510000.0
307156,154560000.0
307167,140854000.0
307159,143305000.0
294608,5604000.0
294606,5490000.0
294584,6592600.0
294592,6362000.0
310168,40293800.0
294620,5824000.0
307208,141104000.0
307196,141267000.0
307211,137545000.0
307178,143559000.0
286093,8274880.0
307194,146172000.0
307200,140307000.0
307210,141994000.0
307199,141346000.0
307206,152552000.0
307233,137531000.0
307234,147998000.0
307242,144012000.0
307244,147358000.0
307241,140686000.0
294568,17276300.0
294587,7469000.0
307251,148516000.0
294615,6565800.0
307252,149293000.0
294605,6579000.0
307253,145673000.0
312105,96020300.0
294740,2933700.0
307229,144688000.0
307256,149365000.0
294732,3682700.0
307255,152216000.0
307257,143167000.0
307259,144454000.0
307201,151068000.0
307260,151177000.0
307261,142308000.0
307262,145834000.0
294730,3831600.0
312129,2060930.0
294729,4120600.0
307231,151676000.0
281938,98580000.0
294598,8281000.0
294739,3820000.0
307268,136690000.0
294628,7084000.0
307266,139811000.0
294727,4537900.0
307267,139289000.0
294613,7666000.0
294619,7895000.0
294725,4365000.0
294728,4502000.0
286098,7733000.0
294604,8060300.0
294733,5049400.0
294731,5158200.0
294735,4749000.0
294625,7195000.0
294742,4528100.0
294655,6974300.0
312110,92060800.0
312131,1626800.0
286100,13814200.0
307314,149150000.0
312112,89695600.0
286072,695680000.0
286101,7302040.0
294682,7234360.0
312133,1915730.0
294701,6266000.0
307368,144486000.0
307362,148994000.0
307369,148984000.0
307360,149273000.0
307372,145334000.0
307365,142648000.0
286102,7194560.0
307374,145039000.0
307376,143174000.0
307377,137191000.0
286103,7235520.0
286104,7460300.0
312139,44560.0
286105,7381970.0
294681,8248000.0
312141,109000.0
294581,11160000.0
286106,7181870.0
312156,82000.0
307371,150229000.0
312149,143040.0
312161,59000.0
312147,179700.0
312144,160000.0
312157,145400.0
312166,118100.0
312168,113000.0
312164,146800.0
312159,160400.0
286108,8374830.0
307415,135243000.0
307444,141795000.0
286109,7536100.0
307440,142105000.0
307435,138083000.0
307453,143256000.0
312151,557300.0
307452,140006000.0
307436,148606000.0
312172,50000.0
294661,9027000.0
286111,7610970.0
312175,110000.0
312176,106000.0
286112,7589280.0
307445,145264000.0
294734,7601000.0
312181,93000.0
312180,136300.0
312178,159800.0
312190,75000.0
312206,80300.0
312182,182200.0
312189,102000.0
312195,103400.0
312201,123700.0
312188,201000.0
312193,150000.0
312192,149870.0
312197,162000.0
286113,7116800.0
307441,139975000.0
286070,732769000.0
294636,9904000.0
294599,12683300.0
307504,145558000.0
307516,147805000.0
294676,9736000.0
307517,142768000.0
294702,8222000.0
307513,143452000.0
307518,141352000.0
307527,144635000.0
307514,130342000.0
307511,147011000.0
307512,142346000.0
294697,8814000.0
312186,611400.0
294671,9307300.0
286117,10930800.0
286114,19622400.0
286116,15873900.0
294699,9079000.0
294583,12882000.0
294683,9771000.0
312135,2360900.0
307526,139774000.0
286119,9996760.0
312208,915200.0
286122,7545200.0
294698,9729000.0
307524,142093000.0
286120,20410100.0
286124,8098840.0
294737,9699300.0
294639,11513000.0
294747,8160000.0
286078,756614000.0
294573,15785000.0
294572,16438700.0
286127,6978670.0
312215,335000.0
287199,4097000.0
307457,2209240000.0
286085,576451000.0
286118,67091000.0
286129,7044000.0
286123,43945200.0
286130,7051840.0
312108,420149000.0
286131,7016800.0
299565,80424300.0
307505,138017000.0
299059,203553000.0
286133,8107400.0
294700,10394100.0
294685,12411000.0
294688,12003700.0
286137,6605030.0
294674,13482000.0
294574,16218400.0
286134,32419200.0
286138,8290670.0
286139,7649600.0
308660,20491000.0
294696,12771000.0
239342,110999000.0
294665,14054600.0
286140,7305330.0
294718,13409000.0
286142,6973200.0
294724,12918500.0
294654,14628600.0
294666,15012000.0
312130,97027500.0
312219,9333200.0
312225,1728160.0
312221,8548000.0
286144,7290930.0
312233,318000.0
294667,14789000.0
312246,328000.0
312245,336300.0
312239,338500.0
312253,338000.0
312243,345100.0
312238,346700.0
312242,347000.0
312240,334000.0
312247,354100.0
312249,333900.0
312252,354800.0
312257,325700.0
312241,358700.0
294657,15361800.0
312271,353500.0
312280,331700.0
312285,330000.0
312281,336000.0
312270,357000.0
312288,316300.0
312275,349700.0
312292,320700.0
312287,347400.0
312283,339500.0
312278,361000.0
312294,352000.0
312290,358000.0
312227,325800.0
312132,85104200.0
312316,1727400.0
294720,15019000.0
286145,7677690.0
272216,348538000.0
272857,365184000.0
297713,74651000.0
312260,836000.0
286146,13807500.0
286081,725506000.0
294680,17414300.0
294714,14991000.0
312235,9075600.0
294664,17418000.0
312134,97837600.0
312353,1674400.0
294695,16964000.0
294689,16558300.0
294691,16926200.0
272883,174435000.0
312263,8822200.0
308935,204941000.0
294749,16070700.0
294623,18884500.0
294660,19732200.0
276290,177614000.0
312388,186700.0
294687,18962400.0
312389,408000.0
294750,16881000.0
286086,650555000.0
294709,18440000.0
294659,19970000.0
294711,17956000.0
297715,78010400.0
297716,80899100.0
291934,571158000.0
286092,484511000.0
312352,2974000.0
294748,17557000.0
286115,325897000.0
286083,734855000.0
294754,18542000.0
294745,19031000.0
312342,25797400.0
286147,7922400.0
286094,485662000.0
286148,7205600.0
312414,1519000.0
312415,603450.0
312416,561900.0
312419,181200.0
312214,14701100.0
286095,484864000.0
294658,21181400.0
294690,19809000.0
312522,108100.0
312413,3921200.0
309215,133548000.0
312662,124000.0
309207,142446000.0
312663,137400.0
294575,23781300.0
309214,146191000.0
309226,141770000.0
309212,137935000.0
309234,140059000.0
309206,145611000.0
309225,142944000.0
294646,23101600.0
309209,140844000.0
309228,140958000.0
309239,138522000.0
309223,136328000.0
309211,139435000.0
309224,141200000.0
294756,18348600.0
309222,140152000.0
309278,144441000.0
309274,140212000.0
309259,143767000.0
309241,145478000.0
309242,143567000.0
309258,146436000.0
309243,143853000.0
309270,136068000.0
309250,144122000.0
309245,135978000.0
309272,147551000.0
294710,20094500.0
309285,141517000.0
309284,146784000.0
312670,787600.0
312412,865000.0
309293,148549000.0
312679,198000.0
312677,206000.0
312357,19098000.0
309299,143821000.0
312391,8702200.0
312667,257100.0
312683,190400.0
309330,149037000.0
312692,191200.0
312687,184800.0
312691,204200.0
312690,187300.0
312686,203500.0
312689,206000.0
312694,206200.0
286155,8107200.0
312695,109000.0
312666,399200.0
309331,141252000.0
312725,182000.0
312731,175300.0
312733,173600.0
312727,203300.0
312726,203300.0
312734,194500.0
312743,187900.0
312749,171300.0
312738,176900.0
312737,193000.0
312745,186300.0
312751,184000.0
312739,196000.0
312764,169000.0
312758,174000.0
312748,185000.0
